comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha
stable,1,4.216965034285822e-5,0.16666666666666666,0.05,0
stable,1,4.216965034285822e-5,0.16666666666666666,0.1,0
stable,1,4.216965034285822e-5,0.20833333333333331,0,3.42
stable,1,4.216965034285822e-5,0.20833333333333331,0.05,0
stable,1,4.216965034285822e-5,0.20833333333333331,0.1,0
stable,1,4.216965034285822e-5,0.25,0,3.48
stable,1,4.216965034285822e-5,0.25,0.05,0
stable,1,4.216965034285822e-5,0.25,0.1,0
stable,1,4.216965034285822e-5,0.29166666666666663,0,3.17
stable,1,4.216965034285822e-5,0.29166666666666663,0.05,0
stable,1,4.216965034285822e-5,0.29166666666666663,0.1,0
stable,1,4.216965034285822e-5,0.3333333333333333,0,3.21
stable,1,4.216965034285822e-5,0.3333333333333333,0.05,0
stable,1,4.216965034285822e-5,0.3333333333333333,0.1,0
stable,1,4.216965034285822e-5,0.375,0,3.23
stable,1,4.216965034285822e-5,0.375,0.05,0
stable,1,4.216965034285822e-5,0.375,0.1,0
stable,1,4.216965034285822e-5,0.41666666666666663,0,3.26
stable,1,4.216965034285822e-5,0.41666666666666663,0.05,0
stable,1,4.216965034285822e-5,0.41666666666666663,0.1,0
stable,1,4.216965034285822e-5,0.4583333333333333,0,3.21
stable,1,4.216965034285822e-5,0.4583333333333333,0.05,0
stable,1,4.216965034285822e-5,0.4583333333333333,0.1,0
stable,1,4.216965034285822e-5,0.5,0,3.25
stable,1,4.216965034285822e-5,0.5,0.05,0
stable,1,4.216965034285822e-5,0.5,0.1,0
stable,1,4.216965034285822e-5,0.5416666666666666,0,3.13
stable,1,4.216965034285822e-5,0.5416666666666666,0.05,0
stable,1,4.216965034285822e-5,0.5416666666666666,0.1,0
stable,1,4.216965034285822e-5,0.5833333333333333,0,3.12
stable,1,4.216965034285822e-5,0.5833333333333333,0.05,0
stable,1,4.216965034285822e-5,0.5833333333333333,0.1,0
stable,1,4.216965034285822e-5,0.625,0,3.23
stable,1,4.216965034285822e-5,0.625,0.05,0
stable,1,4.216965034285822e-5,0.625,0.1,0
