comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha,gamma,beta
equal,1,1e-5,0.7916666666666666,0.05,0,0,0
equal,1,1e-5,0.7916666666666666,0.07500000000000001,0,0,0
equal,1,1e-5,0.7916666666666666,0.1,0,0,0
equal,1,1e-5,0.8333333333333333,0,1,29,29
equal,1,1e-5,0.8333333333333333,0.025,0,0,0
equal,1,1e-5,0.8333333333333333,0.05,0,0,0
equal,1,1e-5,0.8333333333333333,0.07500000000000001,0,0,0
equal,1,1e-5,0.8333333333333333,0.1,0,0,0
equal,1,1e-5,0.875,0,1,27,27
equal,1,1e-5,0.875,0.025,0,0,0
equal,1,1e-5,0.875,0.05,0,0,0
equal,1,1e-5,0.875,0.07500000000000001,0,0,0
equal,1,1e-5,0.875,0.1,0,0,0
equal,1,1e-5,0.9166666666666666,0,1,25,25
equal,1,1e-5,0.9166666666666666,0.025,0,0,0
equal,1,1e-5,0.9166666666666666,0.05,0,0,0
equal,1,1e-5,0.9166666666666666,0.07500000000000001,0,0,0
equal,1,1e-5,0.9166666666666666,0.1,0,0,0
equal,1,1e-5,0.9583333333333333,0,1,24,24
equal,1,1e-5,0.9583333333333333,0.025,0,0,0
equal,1,1e-5,0.9583333333333333,0.05,0,0,0
equal,1,1e-5,0.9583333333333333,0.07500000000000001,0,0,0
equal,1,1e-5,0.9583333333333333,0.1,0,0,0
equal,1,1e-5,1,0,1,26,26
equal,1,1e-5,1,0.025,0,0,0
equal,1,1e-5,1,0.05,0,0,0
equal,1,1e-5,1,0.07500000000000001,0,0,0
equal,1,1e-5,1,0.1,0,0,0
equal,1,1.6155980984398728e-5,0,0,1.01,22,21.782178217821784
equal,1,1.6155980984398728e-5,0,0.025,0,0,0
equal,1,1.6155980984398728e-5,0,0.05,0,0,0
equal,1,1.6155980984398728e-5,0,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.041666666666666664,0,1.01,21,20.792079207920793
equal,1,1.6155980984398728e-5,0.041666666666666664,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.041666666666666664,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.041666666666666664,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.041666666666666664,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.08333333333333333,0,1.04,23,22.115384615384613
equal,1,1.6155980984398728e-5,0.08333333333333333,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.08333333333333333,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.08333333333333333,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.08333333333333333,0.1,0,0,0
