comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha,gamma,beta
priority,1,2.6101572156825386e-5,0.9166666666666666,0,1.01,23,22.77227722772277
priority,1,2.6101572156825386e-5,0.9166666666666666,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.9166666666666666,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.9583333333333333,0,1,26,26
priority,1,2.6101572156825386e-5,0.9583333333333333,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.9583333333333333,0.1,0,0,0
priority,1,2.6101572156825386e-5,1,0,1,25,25
priority,1,2.6101572156825386e-5,1,0.05,0,0,0
priority,1,2.6101572156825386e-5,1,0.1,0,0,0
priority,1,4.216965034285822e-5,0,0,1,24,24
priority,1,4.216965034285822e-5,0,0.05,0,0,0
priority,1,4.216965034285822e-5,0,0.1,0,0,0
priority,1,4.216965034285822e-5,0.041666666666666664,0,1.02,23,22.549019607843135
priority,1,4.216965034285822e-5,0.041666666666666664,0.05,0,0,0
priority,1,4.216965034285822e-5,0.041666666666666664,0.1,0,0,0
priority,1,4.216965034285822e-5,0.08333333333333333,0,1.02,27,26.470588235294116
priority,1,4.216965034285822e-5,0.08333333333333333,0.05,0,0,0
priority,1,4.216965034285822e-5,0.08333333333333333,0.1,0,0,0
priority,1,4.216965034285822e-5,0.125,0,1.02,25,24.509803921568626
priority,1,4.216965034285822e-5,0.125,0.05,0,0,0
priority,1,4.216965034285822e-5,0.125,0.1,0,0,0
priority,1,4.216965034285822e-5,0.16666666666666666,0,1,21,21
priority,1,4.216965034285822e-5,0.16666666666666666,0.05,0,0,0
priority,1,4.216965034285822e-5,0.16666666666666666,0.1,0,0,0
priority,1,4.216965034285822e-5,0.20833333333333331,0,1,26,26
priority,1,4.216965034285822e-5,0.20833333333333331,0.05,0,0,0
priority,1,4.216965034285822e-5,0.20833333333333331,0.1,0,0,0
priority,1,4.216965034285822e-5,0.25,0,1.01,29,28.712871287128714
priority,1,4.216965034285822e-5,0.25,0.05,0,0,0
priority,1,4.216965034285822e-5,0.25,0.1,0,0,0
priority,1,4.216965034285822e-5,0.29166666666666663,0,1.01,23,22.77227722772277
priority,1,4.216965034285822e-5,0.29166666666666663,0.05,0,0,0
priority,1,4.216965034285822e-5,0.29166666666666663,0.1,0,0,0
priority,1,4.216965034285822e-5,0.3333333333333333,0,1.01,24,23.762376237623762
priority,1,4.216965034285822e-5,0.3333333333333333,0.05,0,0,0
priority,1,4.216965034285822e-5,0.3333333333333333,0.1,0,0,0
priority,1,4.216965034285822e-5,0.375,0,1,25,25
priority,1,4.216965034285822e-5,0.375,0.05,0,0,0
priority,1,4.216965034285822e-5,0.375,0.1,0,0,0
priority,1,4.216965034285822e-5,0.41666666666666663,0,1.01,24,23.762376237623762
