comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha,gamma,beta
stable,1,1.6155980984398728e-5,0,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.041666666666666664,0,2.47,25,10.121457489878543
stable,1,1.6155980984398728e-5,0.041666666666666664,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.041666666666666664,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.041666666666666664,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.041666666666666664,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.08333333333333333,0,2.45,27,11.020408163265305
stable,1,1.6155980984398728e-5,0.08333333333333333,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.08333333333333333,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.08333333333333333,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.08333333333333333,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.125,0,2.44,29,11.885245901639344
stable,1,1.6155980984398728e-5,0.125,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.125,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.125,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.125,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.16666666666666666,0,2.51,25,9.9601593625498
stable,1,1.6155980984398728e-5,0.16666666666666666,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.16666666666666666,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.16666666666666666,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.16666666666666666,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.20833333333333331,0,2.47,29,11.740890688259109
stable,1,1.6155980984398728e-5,0.20833333333333331,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.20833333333333331,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.20833333333333331,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.20833333333333331,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.25,0,2.38,30,12.605042016806724
stable,1,1.6155980984398728e-5,0.25,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.25,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.25,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.25,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.29166666666666663,0,2.5,32,12.8
stable,1,1.6155980984398728e-5,0.29166666666666663,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.29166666666666663,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.29166666666666663,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.29166666666666663,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.3333333333333333,0,2.37,29,12.236286919831223
stable,1,1.6155980984398728e-5,0.3333333333333333,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.3333333333333333,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.3333333333333333,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.3333333333333333,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.375,0,2.39,31,12.970711297071128
stable,1,1.6155980984398728e-5,0.375,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.375,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.375,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.375,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.41666666666666663,0,2.39,30,12.552301255230125
stable,1,1.6155980984398728e-5,0.41666666666666663,0.025,0,0,0
