rep,condition,disp_rate,kernel_exp,disturb_rate,temp_noise_color,temp_noise_sd,spat_heterogeneity,env_temp_cv_mean.env_temp_cv_mean,env_spat_cv_mean.env_spat_cv_mean,CV_S_L,CV_C_L,CV_S_R,CV_C_R,phi_S_L2R,phi_C_L2R,phi_S2C_L,phi_S2C_R,alpha_div,beta_div,gamma_div,beta_spatial,beta_temporal,local_dsr_richness,local_dsr_cv
1,stable,0.004281332398719391,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.3089235610687476,0.0923984084283806,0.11119740390943028,0.023465192877753,0.3599511915657495,0.25395667822505,0.2990979649098967,0.2110228481311064,4.971,2.4146789534882513,12,0.27951520035507954,0.045681612095023,4.971,0.09300617779887843
1,stable,0.007847599703514606,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.40744336595226427,0.0929276167442581,0.1550934185352434,0.023846166648228518,0.38065024858795715,0.25661011746222306,0.2280749289587045,0.1537535691291099,6.184100000000001,2.0019880593068358,12.38,0.2859462839568031,0.07382174635505559,6.1841,0.09328630898420635
1,stable,0.01438449888287663,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.42412607938942865,0.09377676077030624,0.19291695757143734,0.027487149733635478,0.45485756935569804,0.29311259535783724,0.22110585820449224,0.14248177080782004,6.6426,1.3558523115830636,9,0.19771501518984444,0.07360467774946029,6.6426,0.09410654853923228
1,stable,0.026366508987303583,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.45157024144791585,0.0956586511864114,0.22224585277185116,0.03389924829641707,0.4921623091442907,0.3543772348447305,0.21183559589686707,0.15253039763678608,7.054300000000004,1.2787856666262731,9,0.13918696773077888,0.07932688151576878,7.0543000000000005,0.09590441263923201
1,stable,0.04832930238571752,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.38516403106548996,0.09825111343965354,0.22887069861216025,0.04004751741137894,0.5942161784396868,0.4076037004504421,0.2550890153679687,0.17497878782308726,5.962100000000003,1.006390985132484,6,0.04596837894423047,0.04678692196194856,5.9621,0.09883833833393725
1,stable,0.08858667904100823,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.3817012346747386,0.09730965010442648,0.24685560489002784,0.04457836998985976,0.6467246696238287,0.4581084192782639,0.25493669201082764,0.18058479980521028,5.986000000000005,1.0023512882468408,6,0.029908379517542914,0.04429632564113326,5.986,0.09763607818135187
1,stable,0.1623776739188721,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.3652386865752091,0.09624005716172387,0.24962888661750995,0.0454452894135804,0.6834678137692486,0.4722076311448273,0.2634990779978789,0.18205140450437232,5.995200000000003,1.0008031845766063,6,0.019312735311690397,0.0390978057230451,5.9952,0.09649109641255638
1,stable,0.2976351441631319,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.34481773502156426,0.09316944502470571,0.24690952333750038,0.043776905359452514,0.7160580743390682,0.4698633264139784,0.27019910973801586,0.17729937982025062,5.998500000000002,1.0002506968149327,6,0.012747351875608957,0.03459231468271982,5.9985,0.09332279113776565
1,stable,0.5455594781168515,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.33040053758519294,0.09142361532152002,0.24910666471907192,0.04595669910562975,0.7539535696271087,0.5026786453807204,0.2767054072905274,0.1844860279328819,5.9998000000000005,1.000033388981636,6,0.009028586358166599,0.0316768184596719,5.9998,0.09145955049695642
1,stable,1,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.32086079752520924,0.08961629892169937,0.24490932279726943,0.0479056479025616,0.7632883938650297,0.5345640076524283,0.2792996203116974,0.19560565255499418,5.9986000000000015,1.0002340578779572,6,0.007697283751791269,0.0313626731065238,5.9986,0.0896088813875897
1,stable,1e-5,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.19898477246015114,0.09228551256352546,0.08359314488112897,0.017059270326392935,0.42009820071970283,0.18485317849483743,0.4637817830105901,0.20407499144399388,3.0674000000000046,10.432648713056574,32,0.7877721029359885,0.011867470233227454,3.0674,0.09318325498891247
1,stable,1.8329807108324375e-5,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.20735054270465045,0.09192666986548349,0.09363305006670729,0.01466942210352025,0.451568869053205,0.15957743411118938,0.4433394225373386,0.15666927535810557,3.1993,10.31486774580849,33,0.7655265589730738,0.014700554939327285,3.1993,0.0932498748830829
1,stable,3.359818286283781e-5,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.2069949690881328,0.08920212843705529,0.08949104657689887,0.020334342416690666,0.4323344039284164,0.22795804060930475,0.4309386301996328,0.22722208751036949,3.1740000000000026,8.59137819123627,27.27,0.7576456890160095,0.012283078529559436,3.174,0.0902182111330732
1,stable,6.158482110660267e-5,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.21727275385945183,0.09111561355697256,0.09107313174209307,0.02146105962260928,0.41916499019939674,0.2355365758382361,0.4193605131728248,0.23564644382038089,3.2247000000000003,9.304053746566996,30,0.7307856946981403,0.01853546136420292,3.2247,0.0918505133484086
1,stable,1.1288378916846884e-4,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.22206385964863448,0.09099909820092925,0.0855446803750838,0.017542933509482484,0.385225585606045,0.1927813995557084,0.4097879697530008,0.2050733421711648,3.4547,8.131310806896803,28.09,0.709313937035268,0.017790833806771336,3.4547,0.09213266523559324
1,stable,2.0691380811147902e-4,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.2319214409401927,0.08951564839837227,0.08821260960023347,0.018890054862821675,0.3803555602389583,0.21102516935089494,0.385974009282981,0.21414234255656436,3.5771000000000015,7.268851182290394,26,0.6568135198894549,0.022437732051446824,3.5770999999999997,0.09021564245140548
1,stable,3.79269019073225e-4,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.23612032165653257,0.08907397092030285,0.08895540011183269,0.019753074503819735,0.37673758653111517,0.22176034479807127,0.37723974918970515,0.22205593453558325,3.6695999999999986,6.037467180645882,22.16,0.6853368782132931,0.025007229635771854,3.6696,0.0895860840011139
1,stable,6.951927961775605e-4,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.25520683728485877,0.08735133985659531,0.0913766461764282,0.01666563549527255,0.3580493655600406,0.1907885502687483,0.34227664425422427,0.18238397000361423,3.9682000000000004,5.2049999806006175,20.65,0.5468270044307272,0.031480477845373125,3.9682,0.08786727632566371
1,stable,0.0012742749857031334,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.2530333698443729,0.0871279283465428,0.08247174387257647,0.020828800260686207,0.3259322828577921,0.2390599737186645,0.3443337469683562,0.25255680652112666,4.158500000000003,4.314410955661472,17.94,0.35150796260625444,0.02924895785041538,4.1585,0.08756066083211826
1,stable,0.002335721469090121,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.2778997007569984,0.08746383378074297,0.09455186398016234,0.019992451000526035,0.34023737241387164,0.22857963270445847,0.3147316587333186,0.2114442821002513,4.492900000000001,4.0074127657467855,18,0.37366146242944515,0.03691310190473548,4.4929,0.08793253675514519
1,stable,0.004281332398719391,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.3051564887215549,0.09065751756823605,0.11099845676817537,0.025743238158333362,0.3637427381380632,0.2839614281182689,0.2970853346361513,0.23192428893042294,4.7425999999999995,2.95276295173701,14,0.277259025439408,0.04456940586261743,4.7426,0.09129391760700648
1,stable,0.007847599703514606,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.32824433034172,0.09060171813150474,0.1332388860679699,0.019228887818220235,0.40591374702271643,0.21223535507693442,0.2760191410988987,0.1443188875686854,5.1575,2.715159257407621,14,0.3303089598906936,0.05081787714861143,5.1575,0.09086501304629704
1,stable,0.01438449888287663,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.3345427478542294,0.08543729274369644,0.12452720187404469,0.016152596539783185,0.3722310606724168,0.18905791629235494,0.2553852782393122,0.12971139073791302,5.764600000000002,2.1906574271381953,12.62,0.48432175937496735,0.05097715648212625,5.7646,0.08561252967580228
